index,ocn,name,brand
490,520F,"DIGITALIPVOICE, INC. - FL",
491,9264,DSL INTERNET CORPORATION - FL,
492,517J,EWART TECHNOLOGIES INC DBA ISLECALL COMM,
493,3840,"LINGO TELECOM, LLC",
494,305H,"BARR TELL USA, INC. - FL",
495,0340,"CENTURYLINK OF FLORIDA, INC. (CENTRAL)",
496,0291,CONSOLIDATED COMMUNICATIONS OF FLORIDA COMPANY,
497,4465,"FRONTIER COMMUNICATIONS OF THE SOUTH, LLC - FL",
498,919F,"MCC TELEPHONY OF FLORIDA, LLC - FL",
499,0338,QUINCY TEL CO,
500,6771,PORTA-PHONE DIV OF JOHN H. PHIPPS DBA AM MESG SVC,
501,811H,"TELEPAK NETWORKS, INC. - FL",
502,213H,"VOICE STREAM NETWORK, INC. - FL",
503,9324,"NOVUS COMMUNICATIONS, INC. - FL",
504,856H,"MIX NETWORKS, INC.",
505,0335,"NORTHEAST FLORIDA TEL. CO., INC.",
506,6841,R AND G DISTRIBUTOR'S,
507,6540,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - GA,
508,067D,"ONVOY, LLC - GA",
509,4332,WINDSTREAM GEORGIA COMMUNICATIONS CORP.,
510,983E,"BANDWIDTH.COM CLEC, LLC - GA",
511,6116,"LEVEL 3 COMMUNICATIONS, LLC - GA",
512,6145,CITY OF THOMASVILLE,
513,0355,"CITIZENS TEL. CO., INC.",
514,8392,"TELEPORT COMMUNICATIONS AMERICA, LLC - GA",
515,720H,CITY OF ALBANY D/B/A ALBANY UTILITY BOARD,
516,0357,"WINDSTREAM GEORGIA, INC.",
517,7435,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - GA,
518,4425,"GEORGIA WINDSTREAM, INC.",
519,0364,"WINDSTREAM GEORGIA TELEPHONE, INC.",
520,9161,"COMSOUTH TELENET, INC. - GA",
521,841E,"PLANT TELENET, INC. - GA",
522,0379,PLANT TEL. CO.,
523,901G,"PUBLIC SERVICE WIRELESS SERVICES, INC.",
524,458G,"PINELAND COMMUNICATIONS, INC. - GA",
525,909E,"PEERLESS NETWORK OF GEORGIA, LLC - GA",
526,6628,"MERRYVILLE INVESTMENTS, LTD DBA BEST PAGE",
527,7490,"LEVEL 3 TELECOM OF GEORGIA, LP - GA",
528,0172,BROADRIVER COMMUNICATION CORPORATION,
529,052G,"CORETEL GEORGIA, INC. - GA",
530,844G,"O1 COMMUNICATIONS EAST, LLC - GA",
531,362B,"DOVETEL COMMUNICATIONS, LLC - GA",
532,205D,"ETC COMMUNICATIONS, L.L.C. - GA",
533,529H,"WIDE VOICE, LLC - GA",
534,518J,"ASSURANCE TELECOM, LLC",
535,187J,"NOBLE SYSTEMS COMMUNICATIONS, LLC",
536,0377,"PINELAND TEL. COOP., INC.",
537,0380,"PROGRESSIVE RURAL TEL. COOP., INC.",
538,0395,"WINDSTREAM ACCUCOMM TELECOMMUNICATIONS, INC.",
539,0369,"COMSOUTH TELECOMMUNICATIONS, INC.",
540,0381,PUBLIC SERVICE TEL. CO.,
541,0155,"LINGO TELECOM, LLC",
542,8758,"XO GEORGIA, INC.",
543,0386,"WINDSTREAM STANDARD, INC.",
544,0346,BLUE RIDGE TEL. CO.,
545,0375,NELSON-BALL GROUND TEL. CO.,
546,0360,ELLIJAY TEL. CO.,
547,0394,"WILKES TEL. & ELEC. CO., INC.",
548,0362,"FRONTIER COMMUNICATIONS OF GEORGIA, LLC",
549,0354,CHICKAMAUGA TEL. CORP.,
550,0368,HART TEL. CO.,
551,0389,TRENTON TEL. CO.,
552,8645,SUNCOM DBA T-MOBILE USA,
553,847G,"TRUVISTA COMMUNICATIONS OF GEORGIA, LLC - GA",
554,3139,"BD OF WATER, LIGHT & SINKING FUND COMM, DBA DALTON",
555,0392,"WAVERLY HALL TELEPHONE, LLC",
556,271E,"RTC SOLUTIONS, INC. - GA",
557,0382,RINGGOLD TEL. CO.,
558,898E,"SOUTH CAROLINA NET, INC. DBA SPIRIT TELECOM - GA",
559,744E,"GEORGIA BUSINESS NET TELECOMMUNICATIONS, LLC - GA",
560,0387,"FRONTIER COMMUNICATIONS OF GEORGIA, LLC",
561,692E,"PLANTERS COMMUNICATIONS, LLC - GA",
562,3622,"AL-CALL, INC. - GA",
563,0356,"BRIGHTSPEED OF GEORGIA, LLC",
564,0344,"ALMA TEL. CO., INC.",
565,0358,"DARIEN TEL. CO., INC.",
566,0347,"BRANTLEY TEL. CO., INC.",
567,0351,"CAMDEN TEL. & TEL. CO., INC.",
568,0365,GLENWOOD TEL. CO.,
569,0348,"BULLOCH COUNTY RURAL TEL. COOP., INC.",
570,0376,"PEMBROKE TEL. CO., INC.",
571,0378,"PLANTERS RURAL TEL. COOP., INC.",
572,084K,"NUMBER SENTRY, LLC",
573,3922,"TELEGUAM HOLDINGS, LLC",
574,332E,PACIFIC DATA SYSTEMS - GU,
575,3800,"TELEGUAM HOLDINGS, LLC",
576,387C,PTI PACIFICA INC.,
577,3945,"GUAM WIRELESS TELEPHONE COMPANY, LLC",
578,599E,PTI PACIFICA INC. DBA IT&E,
579,1085,"CHOICE PHONE, LLC DBA ICONN",
580,335E,PTI PACIFICA INC. DBA IT&E - GU,
581,897F,"DOCOMO PACIFIC, INC.",
582,210H,"ONVOY, LLC - HI",
583,8297,"LEVEL 3 TELECOM OF HAWAII, LP - HI",
584,486J,"AIRUS, INC. - HI",
585,6516,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - HI,
586,3100,"HAWAIIAN TELCOM, INC. - HI",
587,517G,SERVPAC INCORPORATED - HI,
588,009G,"HAWAIIAN TELCOM SERVICES COMPANY, INC. - HI",
589,3021,"SANDWICH ISLES COMMUNICATIONS, INC.",
590,7454,WAVECOM SOLUTIONS CORPORATION - HI,
591,9414,"LEVEL 3 COMMUNICATIONS, LLC - HI",
592,844F,"HAWAII DIALOGIX TELECOM, LLC",
593,003J,"TELEPORT COMMUNICATIONS AMERICA, LLC - HI",
594,411H,"WIDE VOICE, LLC - HI",
595,695G,"IMON COMMUNICATIONS, LLC - IA",
596,6266,UNITED STATES CELLULAR - IA,
597,198H,FARM & MERCH MUTUAL TELCO DBA KALONA COOP TEL,
598,9877,"LEVEL 3 COMMUNICATIONS, LLC - IA",
599,6570,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - IA,
600,2842,LOCAL TELEPHONE DATA SERVICES CORP.,
601,1167,"WINDSTREAM IOWA COMMUNICATIONS, INC. - NORTH",
602,1298,"SOUTH SLOPE COOP. TEL. CO., INC.",
603,1320,VAN HORNE COOP. TEL. CO.,
604,221F,"ONVOY, LLC - IA",
605,1170,"WINDSTREAM IOWA COMMUNICATIONS, INC. - SYSTEMS",
606,8344,"TELEPORT COMMUNICATIONS AMERICA, LLC - IA",
607,1178,"WINDSTREAM IOWA COMMUNICATIONS, INC.",
608,1166,FARMERS & MERCHANTS DBA KALON COOP TELE CO (KCTC),
609,1152,DUMONT TEL. CO.,
610,1115,BUTLER-BREMER MUTUAL TEL. CO.,
611,1278,READLYN TEL. CO.,
612,985E,"BANDWIDTH.COM CLEC, LLC - IA",
613,1319,"VAN BUREN TEL. CO., INC.",
614,423H,"AIRUS, INC - IA",
615,444G,"AUREON COMMUNICATIONS, LLC",
616,544H,"INTEGRATED PATH COMMUNCATIONS, LLC - IA",
617,649D,INDEPENDENCE TELECOMMUNICATIONS UTILITY - IA,
618,1220,LA PORTE CITY TEL. CO.,
619,527G,"SHELLSBURG CABLEVISION, INC. - IA",
620,1147,DANVILLE MUTUAL TEL. CO.,
621,1251,MEDIAPOLIS TEL. CO.,
622,346F,"HEART OF IOWA VENTURES, L.L.C. - IA",
623,351F,MARTELLE COOP TEL ASC DBA MARTELLE COMM COOP IA,
624,4189,"SHELLSBURG CABLEVISION, INC.",
625,1173,FARMERS MUTUAL TEL. CO.,
626,1275,"PRAIRIEBURG TEL. CO., INC.",
627,1217,KEYSTONE FARMS COOP. TEL. CO.,
628,1101,"ATKINS TEL. CO., INC.",
629,1136,"SHELLSBURG CABLEVISION, INC.",
630,1162,FARMERS COOP. TEL. CO.,
631,1238,MARTELLE COOP. TEL. ASSN.,
632,1264,"OLIN TEL. CO., INC.",
633,1139,COOPERATIVE TEL. CO.,
634,4650,"LOUISA COMMUNICATIONS, LC - IA",
635,751F,"MCC TELEPHONY OF IOWA, LLC - IA",
636,562E,SOUTH SLOPE COOPERATIVE TELEPHONE COMPANY - IA,
637,1332,WEST LIBERTY TEL. CO.,
638,1156,EAST BUCHANAN TEL. COOP.,
639,1266,ORAN MUTUAL TEL. CO.,
640,1247,MODERN COOP. TEL. CO.,
641,1329,WELLMAN COOP. TEL. ASSN.,
642,1214,KALONA COOP. TEL. CO.,
643,1257,NORTH ENGLISH COOP. TEL. CO.,
644,1293,SHARON TEL. CO.,
645,722G,"WIDE VOICE, LLC - IA",
646,938D,"WINDSTREAM IT-COMM, LLC - IA",
647,9129,REINBECK MUNICIPAL TELECOMMUNICATIONS UTILITY - IA,
648,1153,DUNKERTON TEL. COOP.,
649,1171,FARMERS MUTUAL TEL. CO.,
650,1269,PALO COOP. TEL. ASSN.,
651,1302,"SPRINGVILLE COOP. TEL. ASSN., INC.",
652,957H,KALONA COOPERATIVE TELEPHONE COMPANY - IA,
653,1250,MUTUAL TEL. CO. OF MORNING SUN,
654,179J,"EDGETEL, LLC",
655,624E,"ATKINS TELEPHONE COMPANY, INC. - IA",
656,5852,HUXLEY COMMUNICATIONS COOPERATIVE - IA,
657,6753,ELECTRONIC ENGINEERING COMPANY,
658,8858,"IOWA NETWORK SVCS INC DBA AUREON NTWK SVCS, INC.",
659,1263,OGDEN TEL. CO.,
660,1328,WEBSTER-CALHOUN COOP. TEL. ASSN.,
661,1225,LEHIGH VALLEY COOP. TEL. ASSN.,
662,859D,"NEXGEN INTEGRATED COMMUNICATION, L.L.C. - IA",
663,1212,JEFFERSON TEL. CO.,
664,9900,ALGONA MUNICIPAL UTILITIES - IA,
665,1158,"MINBURN TELECOMMUNICATIONS, INC.",
666,904D,"PREMIER COMMUNICATIONS, INC. - IA",
667,1303,COOPERATIVE TEL. EXCH.,
668,1127,"FRONTIER COMMUNICATIONS OF IOWA, INC.",
669,1262,"COMMUNICATIONS 1 NETWORKS, INC.",
670,1205,HUXLEY COMMUNICATIONS COOPERATIVE,
671,842E,"COMMUNICATIONS 1 NETWORK, INC. - IA",
672,860F,GREENWAY COMMUNICATIONS L.L.C. - IA,
673,143H,MINBURN TELEPHONE COMPANY - IA,
674,1245,MINBURN TEL. CO.,
675,3620,"OMNITEL COMMUNICATIONS, INC. - IA",
676,1188,GOLDFIELD TEL. CO.,
677,1157,ELLSWORTH COOP. TEL. ASSN.,
678,1305,STRATFORD MUTUAL TEL. CO.,
679,1342,WOOLSTOCK MUTUAL TEL. ASSN.,
680,7215,"INDEPENDENT NETWORKS, LLC",
681,1337,WINNEBAGO COOP. TEL. ASSN. - IA,
682,1261,NORTHWEST TEL. COOP. ASSN.,
683,1179,FENTON COOP. TEL. CO.,
684,1277,"RADCLIFFE TEL. CO., INC.",
685,1310,TITONKA TEL. CO. DBA TITONKA-BURT COMMUNICATIONS,
686,1228,LONE ROCK COOP. TEL. CO.,
687,1125,CENTRAL SCOTT TEL.,
688,1106,"ALPINE COMMUNICATIONS, L.C.",
689,1160,"F&B COMMUNICATIONS, INC.",
690,429J,HAWKEYE INTERCONNECT COMPANY - IA,
691,204A,"CS TECHNOLOGIES, INC. - IA",
692,1346,ACE TEL. ASSN. - IA,
693,1199,HAWKEYE TEL. CO.,
694,1241,MECHANICSVILLE TEL. CO.,
695,1130,CLARENCE TEL. CO. INC.,
696,1265,ONSLOW COOP. TEL. ASSN.,
697,1121,CENTER JUNCTION TEL. CO.,
698,1343,WYOMING MUTUAL TEL. CO.,
699,1485,SPRING GROVE COMMUNICATIONS,
700,1421,MABEL TEL. COOP. CO. - MN,
701,1345,ACE TEL. ASSN. - MN,
702,1230,NORTHEAST IOWA TEL. CO.,
703,1126,"CENTURYTEL OF CHESTER, INC. DBA CENTURYLINK",
704,4245,"F&B COMMUNICATIONS, INC. - IA",
705,1276,PRESTON TEL. CO.,
706,1097,"ANDREW TEL. CO., INC.",
707,1107,"BALDWIN NASHVILLE TEL. CO., INC.",
708,1229,LOST NATION-ELWOOD TEL. CO.,
709,1242,MILES COOP. TEL. ASSN.,
710,1118,CASCADE COMMUNICATIONS COMPANY,
711,1336,WILTON TEL. CO.,
712,1424,MABEL COOP. TEL. CO. - IA,
713,1222,LA MOTTE TEL. CO.,
714,1150,"DIXON ACQUISITION, LLC",
715,1191,GRAND MOUND COOP. TEL. ASSN.,
716,859H,NEIT SERVICES LLC - IA,
717,1274,"CENTURYTEL OF POSTVILLE, INC. DBA CENTURYLINK",
718,1110,"BERNARD TEL. CO., INC.",
719,1404,HARMONY TEL. CO.,
720,4796,"CEDAR COMMUNICATIONS, LLC",
721,1177,FARMERS TEL. CO.,
722,1187,PARTNER COMMUNICATIONS COOPERATIVE,
723,9572,IOWA RSA 2 LIMITED PARTNERSHIP DBA CHAT MOBILITY,
724,1209,"FMTC-I35, INC. D/B/A OMNITEL COMMUNICATIONS",
725,1123,CITIZENS TELECOM CO MN-FRONTIER CITIZENS COM-MN,
726,6103,WINNEBAGO COOPERATIVE TELEPHONE ASSOCIATION - IA,
727,5840,"GUTHRIE TELECOMMUNICATIONS NETWORK, INC. - IA",
728,1888,GRAND RIVER MUTUAL TEL CO,
729,1137,"COON VALLEY COOP. TEL. ASSN., INC.",
730,1132,CLEAR LAKE INDEPENDENT TEL. CO.,
731,1297,HEART OF IOWA COMMUNICATIONS COOPERATIVE - IA,
732,1134,COLO TEL. CO.,
733,1172,FARMERS MUTUAL TEL. CO. NORA SPRINGS,
734,1271,PANORA COMMUNICATIONS COOPERATIVE,
735,1094,"SOUTH CENTRAL COMMUNICATIONS, INC.",
736,068H,"NORTHLAND COMMUNICATIONS, INC. - IA",
737,1129,CITIZENS MUTUAL TELEPHONE COOPERATIVE,
738,1246,"MINERVA VALLEY TEL. CO., INC.",
739,1248,"WINDSTREAM MONTEZUMA, LLC",
740,1113,BROOKLYN MUTUAL TEL. CO.,
741,1232,LYNNVILLE TELEPHONE COMPANY,
742,168F,LENOX MUNICIPAL COMMUNICATIONS UTILITY - IA,
743,1292,"SEARSBORO TEL. CO., INC.",
744,1306,SULLY TEL. ASSN.,
745,1169,FARMERS MUTUAL COOP. TEL. CO.,
746,1108,BARNES CITY COOP. TEL. CO.,
747,1175,FARMERS TEL. CO.,
748,916A,"MAHASKA COMMUNICATION GROUP, LLC - IA",
749,747C,KILLDUFF TELEPHONE COMPANY,
750,1119,CASEY MUTUAL TEL. CO.,
751,1282,ROCKWELL COOP. TEL. ASSN.,
752,739D,"REASNOR TELEPHONE COMPANY, LLC",
753,1322,"VENTURA TEL. CO., INC.",
754,9758,OSAGE MUNICIPAL COMMUNICATIONS UTILITY - IA,
755,1203,HUBBARD COOP. TEL. ASSN.,
756,1358,BLUE EARTH VALLEY TEL. CO.,
757,3097,ALTA MUNICIPAL UTILITIES - IA,
758,774B,"WALNUT TELEPHONE COMPANY, INC. - IA",
759,828B,"LONG LINES METRO, INC. - IA",
760,7021,IMON COMMUNICATIONS LLC,
761,1260,"NORTHWEST IOWA TELEPHONE, LLC",
762,5395,FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY - IA,
763,5417,FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY,
764,7816,WINDSTREAM COMMUNICATIONS OF THE MIDEWEST INC - NE,
765,1291,SCHALLER TEL. CO.,
766,1109,HEARTLAND TELECO OF IA DBA PREMIER COMMUNICATIONS,
767,1811,"EMBARQ MISSOURI, INC. DBA CENTURYLINK - MO",
768,7458,"ADVANCED NETWORK COMMUNICATIONS, LLC",
769,366J,C-M-L TELEPHONE COOPERATIVE ASSOCIATION OF MERIDEN,
770,1334,WESTERN IOWA TEL. ASSN.,
771,1270,PALMER MUTUAL TEL. CO.,
772,460J,"LTE WIRELESS, INC. - IA",
773,1285,SAC COUNTY MUTUAL TEL. CO.,
774,1331,WEST IOWA TEL. CO.,
775,1176,FARMERS TEL. CO.,
776,205H,WESTERN IOWA TELEPHONE ASSOCIATION - IA,
777,1344,"PRAIRIE TEL. CO., INC.",
778,1301,"SOUTHWEST TEL. EXCH., INC.",
779,156C,"BTC, INC. - IA",
780,1105,AYRSHIRE FARMERS MUTUAL TEL. CO.,
781,345D,GREAT LAKES COMMUNICATION CORP. - IA,
782,4092,"COMMCHOICE OF IOWA, LLC",
783,1273,PEOPLES TEL. CO.,
784,1133,C-M-L TEL. COOP. ASSN. OF MERIDEN IOWA,
785,1405,"ALLIANCE COMMUNICATIONS COOPERATIVE, INC. - IA",
786,1259,NORTHERN IOWA TEL. CO.,
787,478H,"AIRUS, INC. - NE",
788,1112,BREDA TEL. CORP.,
789,860E,INTERSTATE CABLEVISION COMPANY - IA,
790,3699,"CORN BELT COMMUNICATIONS, INC. - IA",
791,1206,"IAMO COMMUNICATIONS, INC.",
792,1237,MARNE & ELK HORN TEL. CO.,
793,8708,HAWARDEN MUNICIPAL UTILITIES,
794,482J,WEBSTER-CALHOUN TELEPHONE ASSOCIATION - IA,
795,3390,SPENCER MUNICIPAL COMMUNICATION UTILITY,
796,1174,FARMERS MUTUAL TELEPHONE COMPANY,
797,1168,FARMERS MUTUAL COOP. TEL. CO.,
798,1294,SCRANTON TEL. CO.,
799,3057,MANNING MUNICIPAL COMM AND TELVSN SYS UT - IA,
800,1335,WESTSIDE INDEPENDENT TEL. CO.,
801,1141,CORN BELT TEL. CO.,
802,1308,TEMPLETON TEL. CO.,
803,9769,"ORANGE CITY COMMUNICATIONS, LLP - IA",
804,012E,"GREAT PLAINS BROADBAND, INC. - NE",
805,1252,MUTUAL TEL. CO.,
806,1202,"HOSPERS TEL. EXCH., INC.",
807,1195,GRISWOLD COOP. TEL. CO.,
808,705H,"NORTHERN IOWA COMMUNICATIONS PARTNERS, LLC - IA",
809,1146,CUMBERLAND TEL. CO.,
810,1239,MASSENA TEL. CO.,
811,1316,UNITED FARMERS TEL. CO.,
812,1327,WEBB-DICKENS TEL. CORP.,
813,1189,RIVER VALLEY TELECOMMUNICATIONS COOP.,
814,4115,LAURENS MUNICIPAL COMMUNICATIONS UTILITY - IA,
815,1309,TERRIL TELEPHONE COOPERATIVE,
816,1307,SUPERIOR TEL. COOP.,
817,1280,RINGSTED TEL. CO.,
818,130A,MAPLETON COMMUNICATIONS UTILITY - IA,
819,1213,JORDAN-SOLDIER VALLEY TELEPHONE COMPANY,
820,3112,COMMUNITY CABLE TV AGCY O'BRIEN CO. DBA COMM.-IA,
821,1283,ROYAL TEL. CO.,
822,1367,"FRONTIER COMMUNICATIONS OF MINNESOTA, INC.",
823,1568,"WINDSTREAM NEBRASKA, INC.",
824,1642,"ALLIANCE COMMUNICATIONS COOPERATIVE, INC. (BALTIC)",
825,4069,COON RAPIDS MUNICIPAL UTILITY - IA,
826,6565,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - ID,
827,689F,"ONVOY, LLC - ID",
828,192F,"BANDWIDTH.COM CLEC, LLC - ID",
829,678B,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - ID,
830,808G,"TELEPORT COMMUNICATIONS AMERICA, LLC - ID",
831,2423,INLAND TEL CO,
832,022G,"MILLENNIUM NETWORKS, LLC - ID",
833,4324,"ZIPLY FIBER NORTHWEST, LLC DBA ZIPLY FIBER",
834,4321,"ZIPLY FIBER NORTHWEST, LLC DBA ZIPLY FIBER",
835,7865,ELECTRIC LIGHTWAVE LLC DBA ALLSTREAM,
836,2215,CAMBRIDGE TELEPHONE COMPANY,
837,704D,"RED-BAN COMMUNICATIONS, LLC - ID",
838,2230,"POTLATCH TEL. CO., INC.",
839,7558,"LEVEL 3 COMMUNICATIONS, LLC - ID",
840,3268,"RURAL NETWORK SERVICES, INC. - ID",
841,4427,"ZIPLY FIBER IDAHO, LLC DBA ZIPLY FIBER",
842,2220,FILER MUTUAL TEL CO,
843,2232,"DIRECT COMMUNICATIONS ROCKLAND, INC.",
844,2213,ALBION TELEPHONE CO. DBA ATC COMMUNICATIONS,
845,7511,"LEVEL 3 TELECOM OF IDAHO, LLC - ID",
846,2214,COLUMBINE TELCO DBA SILVER STAR COMMUNICATIONS,
847,4032,"CTC TELECOM, INC.",
848,7870,"BLACKFOOT COMMUNICATIONS, INC. - MT",
849,2227,"MUD LAKE TELEPHONE COOPERATIVE ASSOCIATION, INC.",
850,2233,RURAL TEL CO,
851,340D,"GOLD STAR COMMUNICATIONS, LLC",
852,2231,"PROJECT MUTUAL TEL. COOP. ASSN., INC.",
853,2221,FARMERS MUTUAL TEL. CO.,
854,2222,FREMONT TELCOM CO.,
855,4437,CENTURYTEL GEM STATE INC-ID DBA CENTURYLINK - ID,
856,1484,INLAND CELLULAR LLC,
857,3816,"PROJECT MUTUAL TEL. COOP. ASSN., INC. - ID",
858,579H,"AIRUS, INC. - ID",
859,520K,"TDS METROCOM, LLC",
860,5869,"SYRINGA NETWORKS, LLC",
861,2295,SILVER STAR TEL CO INC,
862,5221,"CAMBRIDGE TELEPHONE COMPANY, INC. DBA CTC TELECOM",
863,2390,"OREGON-IDAHO UTILITIES, INC.",
864,015L,"ZIPLY FIBER PACIFIC, LLC DBA ZIPLY FIBER",
865,857G,FARMERS MUTUAL TELECOM INC.,
866,646G,CUSTER TELEPHONE BROADBAND SERVICES LLC - ID,
867,9638,QWEST CORPORATION,
868,2225,"CENTURYTEL OF IDAHO, INC. DBA CENTURYLINK",
869,3804,"CUSTER TELEPHONE COOPERATIVE, INC.",
870,2218,"CUSTER TEL. COOP., INC.",
871,3052,"XO IDAHO, INC.",
872,2235,"BLACKFOOT TEL. COOP., INC.",
873,815C,"INTRADO COMMUNICATIONS, LLC",
874,973K,"BARR TELL USA, INC.",
875,728K,"PEERLESS NETWORK OF IDAHO, LLC",
876,844H,"WIDE VOICE, LLC - ID",
877,7196,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - IL,
878,911E,"FIDIUM ENTERPRISE SERVICES, LLC",
879,9329,ILLINOIS BELL TEL CO,AT&T Illinois
880,6333,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - IL,
881,063E,"PEERLESS NETWORK OF ILLINOIS, LLC - IL",
882,7091,"ADAMS TELSYSTEMS, INC.",
883,6115,"LEVEL 3 COMMUNICATIONS, LLC - IL",
884,224C,"ONVOY, LLC",
885,1015,"FRONTIER NORTH, INC. - IL",
886,1037,ILLINOIS CONSOLIDATED TEL. CO.,
887,846F,"MEDIACOM TELEPHONY OF ILLINOIS, LLC - IL",
888,6265,UNITED STATES CELLULAR - IL,
889,1183,CITIZENS TELECOM CO ILLINOIS-FRONTIER CITIZENS -IL,
890,1000,"FRONTIER COMMUNICATIONS OF THE CAROLINAS, INC - IL",
891,1036,"FRONTIER NORTH, INC. - IL",
892,0976,ADAMS TEL. COOP.,
893,1079,"FRONTIER COMMUNICATIONS-SCHUYLER, INC. - IL",
894,7136,"TELEPORT COMMUNICATIONS AMERICA, LLC - IL",
895,1065,"ODIN TELEPHONE EXCHANGE, INC.",
896,1055,"FRONTIER COMMUNICATIONS-MIDLAND, INC.",
897,1047,MCDONOUGH TEL. COOP.,
898,0984,CASS TELEPHONE COMPANY,
899,1061,"FRONTIER COMMUNICATIONS OF MT. PULASKI, INC.",
900,1043,LAHARPE TEL. CO.,
901,1058,MONTROSE MUTUAL TEL. CO.,
902,772H,"WABASH INDEPENDENT NETWORKS, INC DBA WABASH COMM",
903,1011,"FRONTIER COMMUNICATIONS OF LAKESIDE, INC.",
904,1038,"FRONTIER COMMUNICATIONS OF ILLINOIS, INC.",
905,197H,"COMPUTER TECHNIQUES, INC. - IL",
906,984E,"BANDWIDTH.COM CLEC, LLC - IL",
907,1060,MOULTRIE INDEPENDENT TEL. CO.,
908,0990,CLARKSVILLE MUTUAL TEL. CO.,
909,1021,GRANDVIEW MUTUAL TEL. CO.,
910,460K,"FIRST COMMUNICATIONS, LLC",
911,8702,"RCN TELECOM SERVICES OF ILLINIOS, INC. - IL",
912,259E,YMAX COMMUNICATIONS CORP. - IL,
913,1067,"FRONTIER COMMUNICATIONS OF ORION, INC.",
914,1057,"BRIGHTSPEED OF ILLINOIS, LLC",
915,1054,"MID CENTURY TEL. COOP., INC.",
916,1091,WOODHULL COMMUNITY TEL. CO.,
917,1053,METAMORA TEL. CO.,
918,1075,"REYNOLDS TEL. CO., INC.",
919,1017,GLASFORD TEL. CO.,
920,8790,"GENESEO COMMUNICATIONS SERVICES, INC. - IL",
921,1016,GENESEO TEL. CO.,
922,1066,ONEIDA TEL. EXCH.,
923,4837,"MTCO COMMUNICATIONS, INC.",
924,0983,CAMBRIDGE TEL. CO.,
925,1004,CONSOLIDATED COMMUNICATIONS OF CENTRAL ILLINOIS,
926,342F,"MTC COMMUNICATIONS, INC. - IL",
927,1087,VIOLA HOME TEL. CO.,
928,272H,"CS TECHNOLOGIES, INC.",
929,1062,NEW WINDSOR TEL. CO.,
930,1023,GRIDLEY TEL. CO.,
931,1029,HENRY COUNTY TEL. CO.,
932,4624,"ONEIDA NETWORK SERVICES, INC.",
933,455H,"CENTURY ENTERPRISES, INC. - IL",
934,5447,"ACCESS ONE, INC. - IL",
935,7056,"XO ILLINOIS, INC.",
936,6795,"INDIANA PAGING NETWORK, INC.",
937,138G,"LEVEL 3 TELECOM OF ILLINOIS, LLC - IL",
938,148J,TELENGY LLC,
939,972C,"DIGITAL NETWORK ACCESS COMMUNICATIONS, INC. - IL",
940,1025,SHAWNEE TEL. CO.,
941,1026,HARRISONVILLE TEL. CO.,
942,458H,"SHAWNEELEC, INC.",
943,9915,"DELTA COMMS, LLC DBA CLEARWAVE COMMUNICATIONS - IL",
944,1003,EGYPTIAN TEL. COOP. ASSN.,
945,6769,"NOVACOM, INC.",
946,248J,"FUTIVA, LLC - IL",
947,1088,"WABASH TEL. COOP., INC.",
948,1049,MADISON TEL. CO.,
949,0978,ALHAMBRA-GRANTFORK TEL. CO.,
950,1012,"FLAT ROCK TEL. CO-OP, INC.",
951,1854,"GRAFTON TECHNOLOGIES, INC. - IL",
952,075A,"DELTA COMMS, LLC DBA CLEARWAVE COMMUNICATIONS - IL",
953,1032,HOME TEL. CO.,
954,1024,HAMILTON COUNTY TELEPHONE CO-OP,
955,1020,GRAFTON TEL. CO.,
956,0993,CROSSVILLE TEL. CO.,
957,046L,"CLEAR RATE COMMUNICATIONS, LLC",
958,1092,STELLE TEL. CO.,
959,0980,BERGEN TEL. CO. - IL,
960,443F,"AERO NORTH COMMUNICATIONS, INC. - IL",
961,1009,C-R TELEPHONE CO.,
962,1041,KINSMAN MUTUAL TEL. CO.,
963,1086,TONICA TEL. CO.,
964,0998,"FRONTIER COMMUNICATIONS OF DEPUE, INC.",
965,1080,SHARON TEL. CO. - IL,
966,1045,LEAF RIVER TELEPHONE CO.,
967,1073,"FRONTIER COMMUNICATIONS-PRAIRIE, INC.",
968,1050,MARSEILLES TEL. CO. OF MARSEILLES,
969,1046,LEONORE MUTUAL TEL. CO.,
970,1048,MCNABB TEL. CO.,
971,534J,UCOMTEL INC.,
972,395H,"WIDE VOICE, LLC - IL",
973,4117,"FBN INDIANA, INC. - IN",
974,6725,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - IN,
975,105F,"BANDWIDTH.COM CLEC, LLC - IN",
976,4803,"LEVEL 3 COMMUNICATIONS, LLC - IN",
977,097D,"ONVOY, LLC - IN",
978,9325,INDIANA BELL TEL CO INC,
979,279F,"PEERLESS NETWORK OF INDIANA, LLC - IN",
980,7440,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - IN,
981,0790,"MONON TEL. CO., INC.",
