index,ocn,name,brand
118,0286,"NATIONAL TELEPHONE OF ALABAMA, INC.",
119,058J,IDT AMERICA CORP. - AL,
120,0280,"ARDMORE TEL. CO., INC.",
121,947D,FARMERS TELECOMMUNICATIONS CORPORATION - AL,
122,0290,"FARMERS TELECOMMUNICATIONS COOPERATIVE, INC.",
123,6885,"SHARP COMMUNICATION, INC.",
124,799G,DOVETEL COMMUNICATIONS LLC - AL,
125,0308,NEW HOPE TEL. COOP.,
126,327A,CENTURYLINK COMMUNICATIONS LLC - AL,
127,0051,SHELCOMM,
128,476F,"CORETEL ALABAMA, INC. - AL",
129,495J,STRATUS NETWORKS,
130,516J,"TON80 COMMUNICATIONS, LLC",
131,793K,"TWC IP ENABLED SERVICES, LLC",
132,0299,"HAYNEVILLE TEL. CO., INC.",
133,208D,"TROY CABLEVISION, INC. - AL",
134,883K,AHOI LLC,
135,753A,"HAYNEVILLE FIBER TRANSPORT, INC. - AL",
136,0315,"PINE BELT TEL. CO., INC.",
137,0322,"UNION SPRINGS TEL. CO., INC.",
138,0371,"KNOLOGY OF THE VALLEY, INC.",
139,0295,"KNOLOGY TOTAL COMMUNICATIONS, INC.",
140,0305,"MON-CRE TEL. COOP., INC.",
141,0294,CONSOLIDATED COMMUNICATIONS OF FLORIDA COMPANY,
142,143J,"PEERLESS NETWORK OF ALABAMA, LLC - AL",
143,0324,"VALLEY TELEPHONE CO., LLC",
144,0317,"ROANOKE TEL. CO., INC.",
145,7473,"POWERTEL ATLANTA LICENSES, INC.",
146,553J,"WHITESKY COMMUNICATIONS, LLC",
147,475J,CALLWORKS CORPORATION,
148,598J,"FIVE9, INC.",
149,671J,U.S. TELEPACIFIC CORP. DBA TPX COMMUNICATIONS,
150,6805,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AR,
151,348F,"ONVOY, LLC - AR",
152,196F,"BANDWIDTH.COM CLEC, LLC - AR",
153,6529,"T-MOBILE USA, INC.",T-Mobile
154,6534,"NEW CINGULAR WIRELESS PCS, LLC - IL",AT&T
155,578H,"AIRUS, INC. - AR",
156,9533,SOUTHWESTERN BELL,AT&T Southwest
157,5179,"LEVEL 3 COMMUNICATIONS, LLC - AR",
158,8870,SOUTHWESTERN BELL TELEPHONE COMPANY - AR,
159,1143,"BRIGHTSPEED OF NORTHWEST ARKANSAS, LLC",
160,048G,"TCA COMMUNICATIONS, LLC DBA SUDDENLINK COMM - AR",
161,7277,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - AR,
162,1142,"BRIGHTSPEED OF NORTHWEST ARKANSAS, LLC",
163,1709,"MADISON COUNTY TEL. CO., INC.",
164,1691,"WINDSTREAM ARKANSAS, INC.",
165,5018,"VANTAGE TELECOM, LLC DBA NEWROADS TELECOM - AR",
166,7656,"WINDSTREAM COMMUNICATIONS, INC. - AR",
167,802C,"TELEPORT COMMUNICATIONS AMERICA, LLC - AR",
168,1718,PRAIRIE GROVE TELEPHONE COMPANY,
169,1734,"ARKWEST COMMUNICATIONS, INC.",
170,9748,"AMERICAN MESSAGING SERVICES, LLC",
171,612K,"CSC VOICE, LLC",
172,095A,"E. RITTER COMMS DBA RITTER COMMUNICATIONS, INC. AR",
173,128L,"E. RITTER COMMUNICATIONS, LLC",
174,1704,LAVACA TEL CO,
175,1699,DECATUR TEL. CO.,
176,1866,OZARK TELEPHONE COMPANY,
177,3031,SCOTT COUNTY TELEPHONE CO.,
178,1710,MAGAZINE TEL. CO.,
179,1144,"BRIGHTSPEED OF CENTRAL ARKANSAS, LLC",
180,7264,"LEVEL 3 TELECOM OF ARKANSAS, LLC - AR",
181,1697,"CENTRAL ARKANSAS TEL. COOP., INC.",
182,1720,"BRIGHTSPEED OF SOUTH CENTRAL ARKANSAS, LLC",
183,1692,"ARKANSAS TEL. CO., INC.",
184,1163,"VALOR TELECOMM TX, LP-TX #1 DBA WINDSTREAM COMM SW",
185,398H,"YELCOT VIDEO GROUP, INC. - AR",
186,1706,"BRIGHTSPEED OF ARKANSAS, LLC",
187,1712,MOUNTAIN VIEW TELEPHONE COMPANY,
188,1729,WALNUT HILL TEL. CO.,
189,1726,"TRI-COUNTY TEL. CO., INC.",
190,1698,"CLEVELAND COUNTY TEL. CO., INC.",
191,1721,RICE BELT TEL. CO.,
192,1722,E. RITTER TEL. CO.,
193,095J,RED RIVER CELLULAR TELEPHONE CORPORATION - AR,
194,1713,NORTHERN ARKANSAS TEL. CO.,
195,1711,"BRIGHTSPEED OF NORTHERN ARKANSAS, LLC",
196,1733,YELCOT TEL. CO.,
197,1702,"SOUTH ARKANSAS TEL. CO., INC.",
198,1724,"SOUTHWEST ARKANSAS TEL. COOP., INC.",
199,1727,"BRIGHTSPEED OF SOUTH ARKANSAS, LLC",
200,0434,"BRIGHTSPEED OF LOUISIANA, LLC",
201,729J,"ARKANSAS RURAL INTERNET SERVICES, LLC",
202,240H,"AIRECAST, LLC - AR",
203,1885,"WINDSTREAM MISSOURI, INC.",
204,1460,"AST TELECOM, LLC",
205,3900,AMERICAN SAMOA TELECOMMUNICATIONS AUTHORITY,
206,909H,AMERICAN SAMOA TELECOMMUNICATIONS AUTHORITY,
207,6572,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AZ,
208,3285,"LEVEL 3 COMMUNICATIONS, LLC - AZ",
209,630E,"ONVOY, LLC - AZ",
210,9636,QWEST CORPORATION,CenturyLink
211,7175,ELECTRIC LIGHTWAVE LLC DBA ALLSTREAM,
212,7552,"LEVEL 3 TELECOM OF ARIZONA, LLC - AZ",
213,587F,"BANDWIDTH.COM CLEC, LLC - AZ",
214,7991,SADDLEBACK COMMUNICATIONS COMPANY - AZ,
215,7217,"TELEPORT COMMUNICATIONS AMERICA, LLC - AZ",
