index,ocn,name,brand
97,,"WAL-MART INNOVACIÓN, S. DE R.L. DE C.V.",
98,,"SERVICIOS CELULARES MULTIPAIS, S.A. DE C.V.",
99,,"RLM TSAAY, S.A. DE C.V.",
100,,"TELECO NETWORKS, S. DE R.L. DE C.V.",
101,,"CYBERTECH HERO DE MÉXICO, S. DE R.L. DE C.V.",
102,,"TACTIC TEL, S.A. DE C.V.",
103,,"TELECOMMERCE SERVICIOS ADMINISTRADOS Y TELECOM, S.A. DE C.V.",
104,,"DFSOFT, S.A. DE C.V.",
105,,"ALLCER INNOVACIÓN Y TECNOLOGÍA, S.A. DE C.V.",
106,,"HIP CRICKET DE MÉXICO, S.A. DE C.V.",
107,,IGNACIO SÁNCHEZ GUTIÉRREZ,
108,,"GAZETI, S.A. DE C.V.",
109,,"TELE QUANTUM SOLUTIONS, S.A.S. DE C.V.",
110,,"DIGINOVTEC, S.A. DE C.V.",
111,,"SPEKTRA TELECOM, S.A. DE C.V.",
112,,"INTER CONEXIÓN Y SERVICIOS AVANZADOS DE ALTA TECNOLOGÍA, S.A. DE C.V.",
113,,"TELECO NETWORK, S. DE R.L. DE C.V.",
114,,"VIVA TELECOMUNICACIONES, S.A. DE C.V.",
115,,"SERVICIOS Y PRODUCTOS TECNOLÓGICOS 3G MOTION MÉXICO, S.DE R.L.DE C.V.",
116,,"VIALTERNA COMUNICACIONES, S.A. DE C.V.",
117,,"LINKING CONET, S.A.P.I. DE C.V.",
118,,EDUARDO ZABDIEL ALTAMIRANO JAUREGUI,
119,,"ASTROLINE TELECOM, S.A. DE C.V.",
120,,"PROTEL I-NEXT, S.A. DE C.V.",
121,,"VPN DE MEXICO, S.A. DE C.V.",
122,,"INTERNET POR FIBRA, S.A. DE C.V.",
123,,"TV WEB Y MAS, S.A. DE C.V.",
124,,"CABLETAMPS, S.A. DE C.V.",
125,,"TV REY DE OCCIDENTE, S.A. DE C.V.",
