ocn,class
# Format: <4-char OCN>,<wireline|wireless|voip|tollfree>
#
# THIS FILE IS THE MAINTENANCE BURDEN OF THE SYSTEM. Everything else is
# static code; this decays as carriers merge and new OCNs are issued.
#
#  1. Never regex over company names. T-Mobile alone sits behind OCNs from
#     Voicestream, MetroPCS and Sprint; name matching misfiles the MVNO tail.
#  2. A missing OCN yields Unknown, not a guess. Abstaining costs one result;
#     guessing wrong costs a customer.
#  3. Classify CLEC and interconnected-VoIP holders as `voip`. Twilio and
#     Bandwidth DIDs are SMS-reachable despite wireline assignment.
#  4. Run `ltbuild -report` after every rebuild; work the unmapped list
#     top-down, it's sorted by how many blocks each missing code costs you.
#
# EXAMPLES ONLY - DELETE BEFORE PRODUCTION
7443,voip
1691,wireline
7718,voip
2240,voip
1178,wireline
6402,wireless
4420,wireline
1167,wireline
7196,voip
0270,wireline
7435,voip
114F,voip
5255,voip
075F,voip
0161,wireline
6265,wireless
2114,wireline
2018,wireline
451F,voip
5178,voip
425J,wireless
986E,voip
7836,voip
969E,voip
117F,voip
571G,voip
114J,voip
268F,voip
839J,voip
6967,wireless
8820,wireless
3535,voip
5832,voip
4510,wireline
933G,voip
6516,wireless
3232,voip
421G,wireless
8305,wireless
7529,voip
987E,voip
7378,voip
3234,voip
196F,voip
282E,voip
3030,wireline
7434,voip
5258,voip
6393,wireless
1885,wireline
1810,wireline
2084,wireline
8226,voip
201A,voip
275G,voip
7142,voip
450F,voip
7432,voip
8389,voip
850D,voip
1151,wireline
818D,voip
1577,wireline
120F,voip
7894,voip
3000,wireline
006F,voip
6744,wireless
7635,voip
7216,voip
080F,voip
520K,voip
0666,wireline
7173,voip
0779,wireline
977E,voip
846F,voip
9877,voip
0434,wireline
225F,voip
4335,wireline
575G,voip
7309,voip
0476,wireline
9788,wireline
1456,wireline
622J,voip
7315,voip
985E,voip
7715,voip
909E,voip
498E,voip
346J,wireless
6566,wireless
3023,wireline
7218,voip
482F,voip
074F,voip
1215,voip
0132,voip
452F,voip
7785,voip
6394,wireless
4800,voip
162G,voip
9691,wireline
123F,voip
2408,wireline
7314,voip
6906,wireless
2185,wireline
9450,voip
1142,wireline
568G,voip
751F,voip
3233,voip
6692,wireless
7172,voip
7460,voip
2147,wireline
6283,wireless
4644,voip
141F,voip
6284,wireless
6389,wireless
8406,voip
2109,wireline
6291,wireless
7074,voip
1367,wireline
1888,wireline
1144,wireline
719F,voip
1036,wireline
4425,wireline
7134,voip
3065,voip
824J,voip
6083,voip
7513,voip
7977,voip
8320,voip
9789,wireline
1826,wireline
7239,voip
0138,wireline
843D,voip
1037,wireline
4805,voip
4948,voip
139J,voip
116F,voip
6940,wireless
995E,voip
6275,wireless
350F,voip
382G,voip
1165,wireline
3147,voip
6263,wireless
6390,wireless
365J,wireless
443F,voip
1842,wireline
4095,voip
1170,wireline
646F,wireless
0474,wireline
1128,wireline
384H,voip
0336,wireline
192F,voip
0665,wireline
961J,voip
7228,voip
7530,voip
3800,wireline
8228,wireline
940G,voip
995D,voip
6921,wireless
2360,wireline
159F,voip
279F,voip
616J,voip
8405,voip
8473,voip
2308,wireline
7143,voip
1965,wireline
8468,voip
6874,wireless
454F,voip
480F,voip
7176,voip
7726,voip
278F,voip
005F,voip
597F,voip
6349,wireless
0506,wireline
210H,voip
539F,voip
7157,voip
7379,voip
6820,wireless
1127,wireline
7325,voip
955G,voip
4520,wireline
5727,voip
7175,voip
387C,wireless
7144,voip
7147,voip
579F,voip
3231,voip
3303,wireline
7076,voip
073F,voip
052G,voip
4146,wireless
087D,wireless
1611,wireline
227F,voip
4017,voip
4511,wireline
544H,voip
802C,voip
7249,voip
1193,wireline
2247,wireline
1818,wireline
7656,voip
8271,voip
653C,voip
1659,wireline
1680,wireline
2154,wireline
382D,voip
1057,wireline
530C,voip
1159,wireline
8407,voip
2153,wireline
6695,wireless
7970,voip
6278,wireless
0491,wireline
098H,voip
7230,voip
8702,voip
046L,voip
4423,wireline
9784,wireline
1651,wireline
2016,wireline
4521,wireline
7440,voip
1630,wireline
2817,voip
1991,voip
018H,voip
0357,wireline
6290,wireless
7558,voip
1784,voip
481F,voip
9944,voip
6117,voip
4321,wireline
4429,wireline
7238,voip
6563,wireless
977K,voip
048G,voip
3015,wireline
0298,wireline
444G,voip
5470,voip
0386,wireline
0520,wireline
1177,wireline
1447,wireline
2262,wireline
6795,wireless
367E,voip
0509,wireline
107F,voip
1155,wireline
5833,voip
003F,voip
0291,wireline
1632,wireline
4139,voip
8506,voip
8434,voip
122D,wireless
2286,wireline
4336,wireline
7465,voip
2255,wireline
2334,wireline
095A,voip
635C,voip
0702,wireline
213C,voip
325E,voip
7480,voip
6591,wireless
817D,voip
1445,wireline
2257,wireline
2246,wireline
707H,voip
283E,voip
9415,voip
5447,voip
0922,wireline
142C,voip
2704,voip
0528,wireline
4413,wireline
8995,voip
1395,wireline
4913,voip
598J,voip
0924,wireline
6270,wireless
7531,voip
429A,voip
476F,voip
422C,voip
8094,wireline
4016,voip
193E,voip
7858,voip
2083,wireline
475J,voip
6267,wireless
7128,voip
2891,voip
139F,wireless
1607,wireline
1686,wireline
316E,voip
7555,voip
4809,voip
3639,voip
319D,voip
559F,voip
0575,wireline
4449,wireline
637E,voip
7060,voip
3583,voip
4979,voip
6123,voip
693K,voip
709G,voip
811D,voip
1817,wireline
0193,wireline
2235,wireline
4156,voip
